№ ПС/ТП;Наименование;Установленная мощность, МВА;Напряжения
580;ПС 220 кВ Бугры № 615;370;220/110/35/10/6
587;ПС 220 кВ Голутвин №401;380;220/110/10
589;ПС 220 кВ Дмитров № 585;250;220/110/10
591;ПС 220 кВ Дровнино №700;250;220/110/10
595;ПС 220 кВ Заря № 720;560;220/110/10
598;ПС 220 кВ Кедрово №107;495;220/110/35/6
605;ПС 220 кВ Луч №475;290;220/110/10/6
614;ПС 220 кВ Нежино № 263;195;220/110/10
618;ПС 220 кВ Ока №400;415;220/110/10/6
621;ПС 220 кВ Осетр № 712;250;220/110/10
625;ПС 220 кВ Пески № 450;250;220/110/10
630;ПС 220 кВ Радищево №140;455;220/110/35/10/6
631;ПС 220 кВ Радуга № 485;189;220/6
639;ПС 220 кВ Сколково;126;220/20
641;ПС 220 кВ Союз № 496;126;220/20
643;ПС 220 кВ Стачка № 375;333.6;220/110/10/6
645;ПС 220 кВ Ступино;200;220/20
648;ПС 220 кВ Темпы № 229;330;220/110/6
654;ПС 220 кВ Федино № 590;250;220/110/10
657;ПС 220 кВ Шибаново № 666;432;220/110/10
658;ПС 220 кВ Шмелево №151;120;220/35/6
680;ПС 500 кВ Дорохово;1502;500/220/110/10
682;ПС 500 кВ Западная;1126;500/220/20
687;ПС 500 кВ Ногинск № 504;880;500/220/110/10
689;ПС 500 кВ Пахра № 509;750;500/220/110/10
692;ПС 500 кВ Трубино № 514;1552;500/220/110/10
695;ПС 500 кВ Ярцево № 540;538.3;500/220/110/10
697;ПС 750 кВ Белый Раст №511;3082;750/500/110/10
699;ПС 750 кВ Грибово № 534;3968;750/500/220/110/10/6
